GEOID,tract_name,population
17143002701,Census Tract 27.01,3757
17031809401,Census Tract 8094.01,2747
17119401905,Census Tract 4019.05,4748
17119402804,Census Tract 4028.04,2540
17119402805,Census Tract 4028.05,5592
17163501606,Census Tract 5016.06,3605
17197880432,Census Tract 8804.32,4275
17197880326,Census Tract 8803.26,3281
17197880426,Census Tract 8804.26,4181
17197880122,Census Tract 8801.22,5914
17197880315,Census Tract 8803.15,3846
17141961002,Census Tract 9610.02,3664
17007010601,Census Tract 106.01,3847
17111871110,Census Tract 8711.10,4360
17065973300,Census Tract 9733,2603
17111871111,Census Tract 8711.11,5352
17111871114,Census Tract 8711.14,4999
17161023300,Census Tract 233,3254
17163502200,Census Tract 5022,1171
17163502602,Census Tract 5026.02,4809
17031824126,Census Tract 8241.26,5951
17031804514,Census Tract 8045.14,4690
17161020800,Census Tract 208,5110
17161020600,Census Tract 206,2267
17031824128,Census Tract 8241.28,4638
17043845807,Census Tract 8458.07,6100
17031815600,Census Tract 8156,5608
17031818000,Census Tract 8180,4428
17031812000,Census Tract 8120,5666
17111871115,Census Tract 8711.15,2994
17085020402,Census Tract 204.02,2896
17085020401,Census Tract 204.01,2197
17031808002,Census Tract 8080.02,5281
17043843100,Census Tract 8431,3970
17043841204,Census Tract 8412.04,5974
17163503301,Census Tract 5033.01,3588
17031824125,Census Tract 8241.25,4098
17031824124,Census Tract 8241.24,3679
17163502500,Census Tract 5025,1004
17163503211,Census Tract 5032.11,4146
17111870103,Census Tract 8701.03,2517
17043846405,Census Tract 8464.05,3899
17125956500,Census Tract 9565,2990
17125956800,Census Tract 9568,2131
17037001004,Census Tract 10.04,2374
17031824701,Census Tract 8247.01,3782
17031824702,Census Tract 8247.02,5453
17031825200,Census Tract 8252,2016
17031816600,Census Tract 8166,4522
17183000400,Census Tract 4,3077
17097861301,Census Tract 8613.01,5080
17031816700,Census Tract 8167,2693
17197880111,Census Tract 8801.11,3683
17197880112,Census Tract 8801.12,2031
17197880113,Census Tract 8801.13,3725
17097860906,Census Tract 8609.06,10453
17031611600,Census Tract 6116,1921
17031340400,Census Tract 3404,1844
17031812100,Census Tract 8121,4763
17031828601,Census Tract 8286.01,4198
17031816800,Census Tract 8168,5765
17031770700,Census Tract 7707,2537
17031828602,Census Tract 8286.02,4666
17031710700,Census Tract 7107,3420
17111871201,Census Tract 8712.01,6779
17097990000,Census Tract 9900,0
17031828900,Census Tract 8289,3399
17031828802,Census Tract 8288.02,2982
17031060200,Census Tract 602,2313
17111870814,Census Tract 8708.14,3954
17111870502,Census Tract 8705.02,4637
17115002905,Census Tract 29.05,1549
17115002906,Census Tract 29.06,2721
17043841327,Census Tract 8413.27,4366
17185957400,Census Tract 9574,1986
17007010501,Census Tract 105.01,4501
