id,primary_type,longitude,latitude
1000,NARCOTICS,-87.65565,41.77909
1001,BATTERY,-87.84558,41.99502
1002,ROBBERY,-87.78219,41.69246
1003,THEFT,-87.86615,41.95662
1004,CRIMINAL DAMAGE,-87.6887,41.94249
1005,ROBBERY,-87.64459,41.84768
1006,THEFT,-87.55941,41.79249
1007,CRIMINAL SEXUAL ASSAULT,-87.70679,41.95029
1008,ROBBERY,-87.68352,41.9616
1009,HOMICIDE,-87.69793,41.9066
1010,THEFT,-87.88396,41.73976
1011,THEFT,-87.79871,41.68793
1012,ASSAULT,-87.81852,41.69535
1013,NARCOTICS,-87.80271,41.88249
1014,CRIMINAL DAMAGE,-87.77231,41.78956
1015,ASSAULT,-87.82667,41.75344
1016,CRIMINAL DAMAGE,-87.57217,41.88681
1017,BATTERY,-87.6868,41.7199
1018,MOTOR VEHICLE THEFT,-87.64481,41.71719
1019,HOMICIDE,-87.76719,42.00633
1020,THEFT,-87.676,41.85493
1021,BATTERY,-87.66039,41.955
1022,THEFT,-87.6284,41.74017
1023,THEFT,-87.88876,41.77041
1024,BATTERY,-87.80629,41.73384
1025,MOTOR VEHICLE THEFT,-87.56998,41.96673
1026,BATTERY,-87.78986,41.8894
1027,NARCOTICS,-87.76153,41.98009
1028,MOTOR VEHICLE THEFT,-87.7394,41.75271
1029,ASSAULT,-87.81368,41.85648
1030,CRIMINAL DAMAGE,-87.80804,41.86461
1031,BATTERY,-87.58576,41.79979
1032,ASSAULT,-87.82324,42.00914
